"Source: Calculated by ReFED based on data from various sources. See https://insights.refed.com/methodology for more information. Data last updated January 23, 2021",,,,,,,
,,,,,,,
,,,,,,,
year,sector,sub_sector,food_type,cause_group,cause_name,tons_surplus_due_to_cause,us_dollars_surplus_due_to_cause
2019,Farm,Not Applicable,Dry Goods,Buyer Rejections,Buyer Rejections,76603.05703,161492409.3
2019,Farm,Not Applicable,Dry Goods,Excess,Packhouse Losses (not Marketable),20974.47313,20974.47313
2019,Farm,Not Applicable,Dry Goods,Not Harvested,Fields Never Harvested (bad Weather),34322.76038,14425477.75
2019,Farm,Not Applicable,Dry Goods,Not Harvested,Fields Never Harvested (food Safety),0.507968385,187.9492621
2019,Farm,Not Applicable,Dry Goods,Not Harvested,Fields Never Harvested (market Dynamics),53.5757232,25046.1791
2019,Farm,Not Applicable,Dry Goods,Not Harvested,Fields Never Harvested (other),105.3204375,45095.7308
2019,Farm,Not Applicable,Dry Goods,Not Harvested,Fields Never Harvested (pests/disease),567.8354944,227860.7779
2019,Farm,Not Applicable,Dry Goods,Not Harvested,Left Behind After Harvest (inedible),428848.5128,1687574018
2019,Farm,Not Applicable,Dry Goods,Not Harvested,Left Behind After Harvest (marketable),292820.5036,1036624773
2019,Farm,Not Applicable,Dry Goods,Not Harvested,Left Behind After Harvest (not Marketable),261192.2137,960720898.7
2019,Farm,Not Applicable,Dry Goods,Spoiled,Packhouse Losses (inedible),115348.5579,115348.5579
2019,Farm,Not Applicable,Produce,Buyer Rejections,Buyer Rejections,596930.5934,212104821.3
2019,Farm,Not Applicable,Produce,Excess,Packhouse Losses (not Marketable),330350.4762,330350.4762
2019,Farm,Not Applicable,Produce,Not Harvested,Fields Never Harvested (bad Weather),664897.7097,164124960.8
2019,Farm,Not Applicable,Produce,Not Harvested,Fields Never Harvested (market Dynamics),2206.830904,1090908.487
2019,Farm,Not Applicable,Produce,Not Harvested,Fields Never Harvested (other),2763.906378,704484.736
2019,Farm,Not Applicable,Produce,Not Harvested,Fields Never Harvested (pests/disease),9928.07526,3156447.286
2019,Farm,Not Applicable,Produce,Not Harvested,Left Behind After Harvest (inedible),4197745.01,2932177571
2019,Farm,Not Applicable,Produce,Not Harvested,Left Behind After Harvest (marketable),3543588.587,2318786020
2019,Farm,Not Applicable,Produce,Not Harvested,Left Behind After Harvest (not Marketable),4436204.251,3090334600
2019,Farm,Not Applicable,Produce,Spoiled,Packhouse Losses (inedible),1732850.707,1732850.707
2019,Foodservice,Bars And Taverns,Breads & Bakery,Date Label Concerns,Date Label Concerns,219.3329756,1036709.917
2019,Foodservice,Bars And Taverns,Breads & Bakery,Mistakes & Malfunctions,Cooking Issues,9.079800903,42917.02884
2019,Foodservice,Bars And Taverns,Breads & Bakery,Mistakes & Malfunctions,Equipment Issues,0.155626115,735.5899687
2019,Foodservice,Bars And Taverns,Breads & Bakery,Mistakes & Malfunctions,Handling Errors,35.7201045,168836.3843
2019,Foodservice,Bars And Taverns,Breads & Bakery,Other,Other,81.54337447,385426.8823
2019,Foodservice,Bars And Taverns,Breads & Bakery,Spoiled,Spoiled,209.3542291,989543.888
2019,Foodservice,Bars And Taverns,Breads & Bakery,Trimmings & Byproducts,Trimmings & Byproducts,15.62248659,73842.00543
2019,Foodservice,Bars And Taverns,Dairy & Eggs,Date Label Concerns,Date Label Concerns,156.3231152,738884.4441
2019,Foodservice,Bars And Taverns,Dairy & Eggs,Mistakes & Malfunctions,Cooking Issues,8.641601644,40845.8149
2019,Foodservice,Bars And Taverns,Dairy & Eggs,Mistakes & Malfunctions,Equipment Issues,3.007271659,14214.31658
2019,Foodservice,Bars And Taverns,Dairy & Eggs,Mistakes & Malfunctions,Handling Errors,14.89601252,70408.21771
2019,Foodservice,Bars And Taverns,Dairy & Eggs,Other,Other,2.256631174,10666.30273
2019,Foodservice,Bars And Taverns,Dairy & Eggs,Spoiled,Spoiled,79.08458539,373805.0502
2019,Foodservice,Bars And Taverns,Dairy & Eggs,Trimmings & Byproducts,Trimmings & Byproducts,7.331180124,34651.91276
2019,Foodservice,Bars And Taverns,Dry Goods,Date Label Concerns,Date Label Concerns,280.7818464,1327157.14
2019,Foodservice,Bars And Taverns,Dry Goods,Mistakes & Malfunctions,Cooking Issues,96.31497067,455247.0278
2019,Foodservice,Bars And Taverns,Dry Goods,Mistakes & Malfunctions,Equipment Issues,2.492332156,11780.37846
2019,Foodservice,Bars And Taverns,Dry Goods,Mistakes & Malfunctions,Handling Errors,15.31029164,72366.36958
2019,Foodservice,Bars And Taverns,Dry Goods,Other,Other,2.029920633,9594.721654
2019,Foodservice,Bars And Taverns,Dry Goods,Spoiled,Spoiled,74.0344299,349934.7394
2019,Foodservice,Bars And Taverns,Dry Goods,Trimmings & Byproducts,Trimmings & Byproducts,14.4132426,68126.33392
2019,Foodservice,Bars And Taverns,Fresh Meat & Seafood,Date Label Concerns,Date Label Concerns,663.7643065,3137380.675
